source_tx_hash,source_address,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected,destination_chain,source_amount_numeric
0x69317e4f085d254a8034254fdd0bedda94087d3a0db9a88aec121f9e653db21d,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,LINEA,0.100000
0x4e30ef66b8273d4b6aeb15c94bebc18bc766150113c2075a11b243c94a3996c1,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,33.000000
0x83c085f2a676b98eae6cb4e0c23c29ac481deb91ab467b3a64f1abaf24446a64,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,11.000000
0x40ee4b4db20ec8efbaa0c30e03c3f7ebc5a14f5072ac34626390906bab39932c,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,10.000000
0xb465067e6f9ad418758d3a814e78d8b32419effbc80d6281dc445c7e0e9a7d34,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,10.400000
0x7fe693db0950c6edecc8a068c2bba595fcf214d64003e3898a63106dc62d7c60,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00035799999999999981142861926741716161,0.00322600000000000013480883076510963292,BASE,71.696323
0x210ea531282fe1540ad5489ac19dd53f70907ebb5171567bf2b80a39e8d6f809,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,BASE,0.010000
0xf38ef1a2ea7694e61a9c16e34f6f0e5164d88be30bb34b671307bce107ea36e5,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,OP,0.010000
0xb2ca07269501dcc94478a262c11a06ffd65fd19e42e78437343d3873132b2067,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,OP,0.010000
0x1552c95c97b45e115672fa6353518f2200237b75958bc99188a8c60991d77870,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,ARB,1.000000
0xf9dab1518f668ab3228285142dbf5a3129010776da38a5ad62f5bc8370b3691d,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,ARB,0.010000
0xb8b29afdfdc9f8963ecd5e3caa390412e789b0c8396ebab4852d4eb7f6e37a52,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,ARB,0.010000
0x20bb2f45297011c020ebb89f44daece20a284526dd62aa2b327f06d68c6fa11d,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,ARB,0.010000
0x4d145e35b730acde9e952e8da87996f39240c2ddd67e4ce3039003d5fba63dad,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,ARB,0.010000
0x4e3ae37f3f6b4caf68af6d368c65eee9f451ca618b44c529d3531597225084cb,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,ARB,0.030000
0x111cb90724ac5e717b884186747ed0110030ab39647d1d91fb5858df10e77b5f,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00005099999999999993861160563213275054,0.00046000000000000001391248227733399290,HYPEREVM,10.219489
0xbd89abe399ac108df81a26f226df3570f80212704a1fc6b3898be0a31c265d04,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,554.377763
0x2c3584362b34e32fcbb54c2b614d45d64e2dc8259fe0bbcf0075562790e286e0,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,111.844692
