dev_entity,dev_address,source_blockchain,Amount,Tx Count
Unknown,0x07c867770c43b1c6b715aa8ac3a55dfd7f835a82,arbitrum,13.585385,2
Unknown,0x8bfcf9e2764bc84de4bbd0a0f5aaf19f47027a73,arbitrum,13.000000,11
Unknown,0x8c346e8b38d67b0c2e208256be542bf8853117ce,base,12.000000,1
Unknown,0x2fa72973c8c887244761a6489ec0769ba126e2fa,ethereum,11.773000,4
Unknown,0x8e7cdf69f384228eee2d82638eb65d734e0603c4,ethereum,10.000000,1
Unknown,0x36aacafa61747045dd522e1ce9de90425f79fb44,ethereum,10.000000,1
Unknown,0xb66c684cc8208a9e292d05d660f0be81a932655c,base,10.000000,1
Unknown,0xc918abf389e27f7e0016f0179b047d9da9f81073,avalanche,10.000000,1
Unknown,0xf6b534d0500813a37ec32494321a37c46268a98b,base,10.000000,2
Unknown,0x0815edf1b6b10b8ced00a5e58634ec563197fa12,base,8.100000,1
Unknown,0x6cb0362cda970a8ae79ba10cb524c88c4b3a2968,base,7.896344,5
Unknown,0x50325801074f963e08c3d23d8d4fcf481bdbd978,hyperevm,7.198321,2
Unknown,0x8d33b394113281680692f5376dabace0962ccbce,base,6.460000,1
Unknown,0x32fa2cbb695da15201b88121d750e0b28264ddb3,polygon,6.000000,6
Unknown,0xb9e73e65d813abdc879351875e7701779b4a1e25,base,5.998400,4
Unknown,0xb137bd3648693116f9237e5abe0cbe1a2dbe6c9f,hyperevm,5.000000,1
Unknown,0x072ab8b22c7c7b4dd2b3367c6e7445d6c9e3cb2f,arbitrum,5.000000,5
Unknown,0x8d33b394113281680692f5376dabace0962ccbce,ethereum,4.170000,1
Unknown,0x8e7cdf69f384228eee2d82638eb65d734e0603c4,base,4.100000,4
Unknown,0x07c867770c43b1c6b715aa8ac3a55dfd7f835a82,base,3.500000,4
Unknown,0xa48fa7d5931e9974577096f68d627ed6b39259fc,arbitrum,2.353360,2
Unknown,0x31620f8043737974bb1a151711f0e221516094ad,base,1.560000,1
Unknown,0xe324c63fdb51f7d597ff68d92bec74fa054ee128,ethereum,1.540100,47
Unknown,0x2fa72973c8c887244761a6489ec0769ba126e2fa,arbitrum,1.460000,4
Unknown,0x2fa72973c8c887244761a6489ec0769ba126e2fa,base,1.000000,2
Unknown,0x072ab8b22c7c7b4dd2b3367c6e7445d6c9e3cb2f,avalanche,1.000000,1
Unknown,0x32fa2cbb695da15201b88121d750e0b28264ddb3,ethereum,1.000000,1
insfers.com,0xb2dc24be080b47bd2fdabc7da8d5de0dde55c440,ethereum,0.999000,1
Unknown,0xc3f26a1d00f560805c9fced8fc60463938fc276c,base,0.975062,1
Unknown,0x23f9a5bea7b92a0638520607407bc7f0310aeed4,polygon,0.750000,3
Unknown,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,arbitrum,0.600000,2
Unknown,0x23f9a5bea7b92a0638520607407bc7f0310aeed4,base,0.500000,2
lyzi.fr,0x506f2251525e91bc9eb705324900ad0d1d847aa5,polygon,0.480000,1
Unknown,0x634899a96190dc4597cffc7ce42db0ffbd85f11c,arbitrum,0.360000,29
Unknown,0xeb6c14b48756cb418f1ac7b26d025db8cb4e8953,arbitrum,0.299980,3
Unknown,0x40ea6976b92d22462c2ddda9981d23bd5ca999e5,base,0.250000,7
Unknown,0xbf2a00fb495fc300c05fbae8478dd59294b8b89f,hyperevm,0.210000,11
Unknown,0xf2cabe91ccb244d01626cc4d80e04c06e2031948,base,0.200000,2
Unknown,0xa83305e565e4d0afb339500c9010c5d16c66c54f,arbitrum,0.200000,4
Unknown,0x8d33b394113281680692f5376dabace0962ccbce,arbitrum,0.200000,2
Unknown,0xa35db58d2055e2ac965da6ff905bf12b62792fe1,polygon,0.200000,2
Unknown,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,base,0.114200,43
Unknown,0x29711666315176909532695bf952f62590d5ee9f,ethereum,0.110010,3
Unknown,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,avalanche,0.100000,1
lyzi.fr,0x506f2251525e91bc9eb705324900ad0d1d847aa5,optimism,0.100000,1
Unknown,0xf363153d08dc97d22c6c4ca0fe91ee60597c87f0,arbitrum,0.100000,1
Unknown,0xf2cabe91ccb244d01626cc4d80e04c06e2031948,ethereum,0.100000,1
Unknown,0x0c45f839b8cbe5cca081ef6e2be84829a1e67f8e,arbitrum,0.100000,1
Unknown,0xbf2a00fb495fc300c05fbae8478dd59294b8b89f,ethereum,0.100000,1
Unknown,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,ethereum,0.086000,23
Unknown,0x634899a96190dc4597cffc7ce42db0ffbd85f11c,base,0.050000,4
Unknown,0x40ea6976b92d22462c2ddda9981d23bd5ca999e5,arbitrum,0.040000,4
Unknown,0x634899a96190dc4597cffc7ce42db0ffbd85f11c,monad,0.040000,4
Unknown,0x2f2a4eeef6e03854595419adad319740b56a7441,base,0.020000,2
Unknown,0xbf2a00fb495fc300c05fbae8478dd59294b8b89f,arbitrum,0.020000,2
Unknown,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,monad,0.018300,12
Unknown,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,base,0.010000,1
OKX Deposit,0x9aaab5b443389672e913352241e50a067ae1b02b,arbitrum,0.010000,1
Unknown,0xa2c256243e5de1891def26b715feae279f7e5fd4,polygon,0.010000,1
Unknown,0x29711666315176909532695bf952f62590d5ee9f,base,0.010000,1
Unknown,0x29711666315176909532695bf952f62590d5ee9f,monad,0.002300,5
Unknown,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,arbitrum,0.001000,1
