bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
0.009,0.0010000000000000009,0x4fd052c17c223fc9817f42093dd1cc5710a2dba1,0x0322f0dfeb037142612d0aed04b74cf139aa4aba758a005e9485339405c9aaa9,5.990000,arbitrum_sepolia
0.009,0.0010000000000000009,0x5071a5b09ff0e6ebc8c6ff26c6730e9f74e23fe4,0x5b4d31995e7d9e3a7f394815b35bab789506f35fd1d4219aa35047be723bfec9,4.990000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x79f5f721f19a0d4fc0b608c910de574b7f98486dfb70bab8228cd40a10cf435e,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xc2af0a1a97f4003fd4c33a0d2d1c86ea03a237bf8ef7f36d0cbfd1fc032611f1,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xa719717a5945058e4e83c9da65cb433180df05b95b168ec21fa586b321082919,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xd1f1ce89c34bce176dd7f7b14b1fbccc1261f3944099f681f33a85d3afce10e0,3.000000,arbitrum_sepolia
,,0x750991b991586b10883386a25c18862e895d39a4,0xd464fdd90aa40bed51c5a6c9c92834ff204c6b63eb121bc372c997e5008b52a6,50.000000,arbitrum_sepolia
,,0xd79713b123f33b69dc12c6bae13d85f70ce162c7,0x2a71d65da1e04b26e1197943510f30f548dcb2fe2334c2d4090fe52365437386,70.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xf2e978eed5611c0161f5fa9f28e8e0a9c9d7a5f535cddb0cd7cb55659fb9a73e,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xb5e70b4f35afb74eef566998bf94df8b261d43c7c36209f3f95988947bd6b0d7,3.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0x3f867996d3d8172f24e7035599c7eca463821dac,0x0c77b90dff743f93e453ffb3ce2d3964ca2f18a23b6c7e25ddaf5363fa6a7324,69.990000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x0f5503f784a463ff0f9442a9b55899d9b206023c076c2d628716c859fa79b794,3.000000,arbitrum_sepolia
