block_timestamp,source_tx_hash,blockchain,destination_chain,source_amount_numeric,bridge_kit_fee_total,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected
2026-03-21 00:03:20+00:00,2LuoQYyvr8G26fdpkMJrz2KswDxHyppHgfToNZXJfZVVXvvc7Qh6FtFYfxrRiLhfWu8X4LdXBYmfhg46BGsSWaQV,SOL,EDGE,0.001000,0.00010000000000000000479217360238592960,0.00000999999999999999912396464463171242,0.00009000000000000000566820895775421718
2026-03-21 00:02:52+00:00,4CkXoNVLzgBVLzpDboBhiuyeaMBHM5uXdaRhsfRBEez1rJxUWxQkafjdY8zRkU3UZ4WAUACRmdTDDZ56YG1aURrA,SOL,EDGE,0.001000,0E-38,0E-38,0E-38
2026-03-19 23:25:14+00:00,3u9iYnFLoigdnv5R77VLUcqoVT9eznxqKHays8Axf9nFwBNWcGU1t5QitA77sk5FcHqY1z1apW9TFUUH6o1MM1Cj,SOL,ETH,2.000001,0E-38,0E-38,0E-38
2026-03-19 18:30:29+00:00,0xabeb013fae2d98d01ee3e2225392a95088d5e4f93707a957dbd6ae7689cbcf4e,AVAX,SOL,10.000000,0E-38,0E-38,0E-38
2026-03-19 18:23:12+00:00,0x66ab7ea116c7595ae9f80145e0a68ff3de358ac4a6f098f8617a1dc389cf307d,AVAX,SOL,10.000000,0E-38,0E-38,0E-38
2026-03-18 20:10:35+00:00,0xa71690bd6415b9c2f276da3badbe6d0ab93a5ba4161a2c8322ea0915ab6b4910,ETH,INK,5.000000,0E-38,0E-38,0E-38
2026-03-17 17:11:40+00:00,42jzCFLnBdXrHiwX5BCgXm5nev77euXyako1EdhEQvN237rRfc5PeGRpyfTarjRC8o978x3MVjQk4jxMqFFFibpB,SOL,ETH,1.240625,0E-38,0E-38,0E-38
2026-03-17 16:47:27+00:00,5PXKFjzQPga5NB8Vw8W8FEE7uFqvne3uY9z3VrAcyMVRpVMowEbfzJ4xe61d51zubv8UVfqjLmDQdxWWdWpWqNYP,SOL,ETH,0.198712,0E-38,0E-38,0E-38
2026-03-17 16:46:51+00:00,3vrDH1Hx9wriayeo6ddTVoTHG9bJfBmgqDX6WjzCGawsbvuJhpqGKPfNnUoiXivp5YT3KbyQ9cshb6Lc6eXAMLhM,SOL,ETH,1.600429,0E-38,0E-38,0E-38
2026-03-14 13:15:37+00:00,ZcUTgSt7S4qjpnioeHFc6acP36QVyWSxbnBdPW24HxMyPLbiCTq4cdLHXxCD6ED1uXya1UuoMBSqQ8BdsYFwUcS,SOL,ETH,1.000000,0E-38,0E-38,0E-38
2026-03-13 18:53:15+00:00,0x600faa448fce94740f26a4dd894e4967fb04fbb9e0d750826f110a50b5bd6521,BASE,EDGE,1.000000,0.05000000000000000277555756156289135106,0.00500000000000000444089209850062616169,0.04499999999999999833466546306226518936
2026-03-13 05:27:41+00:00,0x6eedb45a2f5cac51697ece1fc6b55d4126e060af0a4e41bcd80ceef9fabdb56f,ARB,SOL,2.000000,0E-38,0E-38,0E-38
2026-03-12 07:05:39+00:00,0x1af64256311fd87ba4d13655e6616a7966bebf43705cd21427d6cbe203aeb21f,ARB,SOL,6.000000,0E-38,0E-38,0E-38
2026-03-12 00:55:02+00:00,5R5FNpzrsQBpsyhQWvGfBJpAJU86k6WCgiWuHGzm5oZYXqnowzzBmr9htzr5dk5evAS4mYq9R9oEA3rXij62p5ui,SOL,EDGE,0.001000,0E-38,0E-38,0E-38
2026-03-12 00:51:38+00:00,5W5gjbKoCzXWbVfQx7X9YrPEbfMA11UAhCE1x2uAYLiL1te3hJaeSxcC4ryubAXckZRbAuK5WG2vYVXFqyUPdK3i,SOL,EDGE,0.001000,0E-38,0E-38,0E-38
2026-03-11 19:55:50+00:00,2xTA2QaYhB1AcuSdoMGN2NQtGMxSmNPgwGk8yrAjoHCPENFXCcejiFbz5H88nK3XYgiLa4BS1q9z8ye3aTP4ZmXU,SOL,EDGE,0.010000,0E-38,0E-38,0E-38
2026-03-11 19:36:28+00:00,33HP7MV8nEpdrt1zyHDXHBf65jYivMMhy4HmNHxMY9Qg1ynvntiYQeScwAKqF4MToDV8FjqyvWEzr8rFgYevUB4H,SOL,EDGE,0.010000,0E-38,0E-38,0E-38
2026-03-10 21:18:58+00:00,473FLVpPMJWTRJva8Pw5ptpkTVfB522kHrEkNjadA2fVcsm95p7kHgdbkz1dQduG6R9uDbMBtg5Z8PiPvB9oKUef,SOL,ARB,1.381133,0E-38,0E-38,0E-38
2026-03-10 21:18:08+00:00,4AKbzn4BDLV8Pprv9srQn1gkxiMqoZXdH7zdhpUVPMCLBKikoXC6pf5oiEpuH211J7KrNx1p7RfWPPpz16VaSeh5,SOL,ETH,0.618867,0E-38,0E-38,0E-38
2026-03-07 21:46:23+00:00,0xe96117d833de5b0bfef2187eb3f8e8cf652048b459e944710b18ef9ca048ce6e,SEI,ARB,0.010000,0E-38,0E-38,0E-38
2026-03-07 10:05:26+00:00,0x093e2a5277f2e82d5a88a0b108bf3911b9bc13e6605c823faf94a5453e949d2b,SEI,ARB,0.010000,0E-38,0E-38,0E-38
2026-03-07 04:43:36+00:00,0xa399159b33e9a3232e1a4fd974645e99a4ae909bbaa3d75f0175bfb87384a0f3,ARB,SOL,50.000000,0E-38,0E-38,0E-38
2026-03-07 04:19:16+00:00,0x8aa9685eb916b21ddf64ce84bc534cc8c6eb72b6dcf3d7c3609039ec9ee78516,ARB,SOL,45.059573,0E-38,0E-38,0E-38
2026-03-06 22:16:26+00:00,0x893c8ffefeafed0a799eaafee53df72c24135fe8dded5f2005174d4ec31c36c7,SEI,BASE,0.010000,0E-38,0E-38,0E-38
2026-03-06 01:46:08+00:00,Bvo44G3eunShnFku9HP8LqKcp1u4iaUAqoqdnVib5UNa6RETZPPCwiwWMhMBNj3Cs4QxfvLAiBBb98y8T6Br3dj,SOL,POLYGON,0.400000,0E-38,0E-38,0E-38
2026-03-04 14:24:52+00:00,0x5cf4df7234d9eb5f9ddeb2b63d77f646913edc22344b6749aa8a58ab372adccd,ARB,SOL,9.950020,0E-38,0E-38,0E-38
2026-03-04 11:52:29+00:00,0xdc6043f5b3c7044810c76d389c582b0f23d7bd182af01ed2be5e468247ebf255,BASE,ETH,0.200000,0E-38,0E-38,0E-38
2026-03-04 11:05:39+00:00,0x2ba1bab08145ef792096aa3ec1e125622f292c7caabe13e51afc773b391aba75,BASE,ETH,0.500000,0E-38,0E-38,0E-38
2026-03-03 17:03:07+00:00,0x0ca9fb07ac06e8649ea358b254c2ac051c044d453704e565a80ebaa7368373eb,BASE,ETH,1.000099,0E-38,0E-38,0E-38
2026-03-01 20:48:23+00:00,0xf16eb04d95f40a24e52a7e03b6852f55a4dce5671669e71e6ef1f9e43e5c3118,LINEA,MONAD,0.150000,0E-38,0E-38,0E-38
2026-02-28 21:50:42+00:00,0xcbe84535e2968996ad7d5e29a2c7cdfa3b11e4fdae0e83f3b2635472ac50be7c,LINEA,MONAD,0.150000,0E-38,0E-38,0E-38
2026-02-27 15:26:25+00:00,0x65a42808abc10d92548cab66a25dac6265bcc3d61046674dbb6d7cb2dc295d20,BASE,ARB,7.340000,0E-38,0E-38,0E-38
2026-02-27 15:19:05+00:00,0x8dc9e5588558ab43957bbd62a8b9e0524e3bb1d1f9cd5111daee4ae97b0b8ff4,BASE,ETH,41.030000,0E-38,0E-38,0E-38
2026-02-27 15:16:23+00:00,0xc70c72e61be486b98a56bfef49cda801bc215832c218375ea701dda7589e2061,BASE,ETH,41.030000,0E-38,0E-38,0E-38
2026-02-27 15:15:53+00:00,0xc946b1e314ba5a796a324b25184d6186e9627f6c0039fcacb8d51b1f155ea8f3,BASE,ETH,41.030000,0E-38,0E-38,0E-38
2026-02-27 15:13:19+00:00,0xfc1c3f7a65bd108d06701d9307fcf5f79f759cffcf7ab32910a042601297f666,AVAX,ETH,9.010000,0E-38,0E-38,0E-38
2026-02-27 15:12:55+00:00,0x8f93d51120ed382bcc969a2b26dffb07edabb6f3042bb1a801f4702045c58829,BASE,ETH,41.030000,0E-38,0E-38,0E-38
2026-02-26 17:33:23+00:00,0x22b60c9a1f58be3f919022836be8357acdb284bb677a3b38738850e85e13b548,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 17:26:27+00:00,0x63ddc520338b05afa71239c8e8356d042b27b1c8bbc239133008e03e5a1f7f94,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:56:09+00:00,0x39c38d0ac78fd7deb58097264652286305e182497a86fcb9d3790c51e1969cd5,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:55:49+00:00,0xc1bc5e0584f1b2120701aff351fef28fdb4f9881f963826adf3daeff5097950b,BASE,OP,8.900000,0E-38,0E-38,0E-38
