blockchain,wallet_address,is_circle_wallet,# of Transactions,Circle Collected Fee$,Transaction Volume$
arc_testnet,0xe91d9a7e7ece3e2239c13548db67c820679d1736,False,68,0.0039380000000000005,534.7733929999999
arc_testnet,0xcb47251161af8b11c53a5255c18c90eabfb6fd7f,False,68,0.006035,780.7752599999999
arc_testnet,0x326c37ca1d53a7bbf857484c2c98df6d603314f9,False,68,0.0037209999999999995,519.4219250000001
arc_testnet,0x4bd866d65c7306cc39bf88d5c222ef729ddc700e,False,68,0.0057859999999999995,720.577515
arc_testnet,0xaf6c96429b603ce2bec016779939f300ffe6b944,False,68,0.0036910000000000003,437.587352
arc_testnet,0xd9cd1f582dbe16cae41e22ff30de2bc855f06280,False,68,0.005575,634.4276430000001
arc_testnet,0xebf31955ea5f7b9ce4d86a2b1e2691acdefab19e,False,67,0.005233999999999999,664.817593
arc_testnet,0x63efa5b12c42bf0990d5568e00e6f4bce12fd18c,False,67,0.006686,767.505902
arc_testnet,0xe531e4b8f0320269fb8dd7bf9da9349253ef2696,False,67,0.00198,242.12244700000002
arc_testnet,0xa845bc2434fd4301425fad09fb83ac3c528eddd4,False,66,0.00777,908.6153359999998
arc_testnet,0x4a61b4c52ffa60fa8aa2d0bba0c08d990377c79a,False,66,0.0029230000000000003,348.82401600000003
arc_testnet,0x6558aabc5850b22ed2633cb6636322c02c825a0b,False,66,0.002077,251.66851999999997
arc_testnet,0xd2703b9161c991f0c867bb830fed84be9c03b7fc,False,66,0.003618,454.32062299999996
arc_testnet,0xe1196d218fadf1b0c1f2fccf5a9fa7ad07b51d4a,False,66,0.0038959999999999993,443.021106
arc_testnet,0x92940f2448992a0a9ea477c31138221e7730325a,False,66,0.0033819999999999996,414.15684899999997
arc_testnet,0xea0f27b49b140292a4252e6b2df5f9d8a6d15ed4,False,66,0.005228,683.1283599999999
arc_testnet,0xbf51bd9ca4ce322368817b33aae18cdc9cf592e6,False,65,0.0044480000000000006,577.1031170000001
arc_testnet,0xa0c6d3520b41486222e73adb34f920b6d28e40cd,False,65,0.002185,265.944166
arc_testnet,0xa8411548395ce415b905c747e5d46ac48400d70b,False,65,0.005222,619.3959609999999
arc_testnet,0x4351f794dca82b8d1c569c237acda45595f6c5c7,False,65,0.003136,370.52248999999995
arc_testnet,0x697ccbabbaecc8049c72da0d03cff99d0c835a54,False,64,0.005739999999999999,693.4343680000001
arc_testnet,0xca4c930d3a045701b493043f052ca72b128b4ce1,False,64,0.002339,311.706051
arc_testnet,0x2bc626372bc4918c95d8a23533da60f22868bbdc,False,63,0.004828,611.438042
arc_testnet,0x1d1f2d4fa41d74ca0354533d1487f781690b0c89,False,62,0.00294,354.57168499999995
arc_testnet,0x412b39c9fb62ebbc74cfc044c04cdbbb1077b6ce,False,58,0.08464,596.255468
arc_testnet,0x463e9783314c7532ae248425a0a502c12e17b8ae,False,57,0.0025290000000000004,199.53839600000003
arc_testnet,0x40916be240fb2243458be3c7ae43711b90c795fd,False,57,0.009729000000000002,37.98859600000001
arc_testnet,0x16536f50cd8bc0b85bcedb2e7a665fa0eb9622ea,False,56,46.025612,201018.69494
arc_testnet,0xb335fb63efef2c9bca476b4be90c57c2bf00cdeb,False,54,48.972835,197151.556998
arc_testnet,0xed8cd148e6d280a4f6f19cb4d5237a2442830203,False,51,0.029560000000000003,383.400324
arc_testnet,0x4c0c73bcc6a6919126bd27a61980e5321f3f1c64,False,49,0.028132000000000008,69.83896600000001
arc_testnet,0x28cba8211653ad0129aae57056ee1631bb65d45f,False,48,0.06573999999999999,6832.195615999999
arc_testnet,0xf609c892838c00dba5f0f4468713d63ae1afd48a,False,47,0.001019,80.00806400000002
arc_testnet,0x9df50ad6ff415265390f0602b5e43fd2c8f2279e,False,44,0.23962,689.560222
arc_testnet,0x304779882e31a4c98c9042bbde1d3c59cc0b1221,False,43,0.0015700000000000002,142.45903299999992
arc_testnet,0xd3e922e2482daf3e4551de4aaefb4845636553bc,False,39,0.10744600000000004,232.29768199999992
arc_testnet,0xb878d0177e2c92fd257d1f1a23d41151c5e5d25f,False,39,0.087702,1026642.156438
arc_testnet,0xcfbac29b4096c2ac71b6da1b71f9364c6d25abe8,False,37,0.052771,13040.632946
arc_testnet,0x1f31e6d26a30af0aaa2a48aa88ac42d6e366e275,False,36,7.199999999999999e-05,3.599279999999999
arc_testnet,0xb56164d723878a110061d842f679347820b711ac,False,35,1.5806900000000002,6764.407551999999
